,Model,Accuracy,Number of parameters
0,C [16] D[],0.905304829770388,540651
1,C [32] D[],0.876326207442597,1081259
2,C [64] D[],0.8977038796516231,2162475
3,"C [16, 16] D[]",0.948535233570863,119851
4,"C [16, 32] D[]",0.9460807600950119,238443
5,"C [16, 64] D[]",0.9569279493269992,475627
6,"C [32, 32] D[]",0.9504354711005543,244267
7,"C [32, 64] D[]",0.9588281868566905,486059
8,"C [64, 64] D[]",0.9544734758511481,506923
9,"C [16, 16, 16] D[]",0.9657957244655582,23099
10,"C [16, 16, 32] D[]",0.9659540775930324,42619
11,"C [16, 16, 64] D[]",0.9628661916072843,81659
12,"C [16, 32, 32] D[]",0.9677751385589866,49547
13,"C [16, 32, 64] D[]",0.9687252573238322,93195
14,"C [16, 64, 64] D[]",0.9670625494853523,116267
15,"C [32, 32, 32] D[]",0.9654790182106097,55371
16,"C [32, 32, 64] D[]",0.9688836104513064,99019
17,"C [32, 64, 64] D[]",0.9767220902612826,126699
18,"C [64, 64, 64] D[]",0.9684085510688836,147563
